ID_Cliente,Demografia_Regiao,Plano_Assinatura,Tempo_Visualizacao_Mensal_Horas,Interacoes_Suporte_Mensal,Media_Avaliacoes_Filmes,Status_Retencao,Data_Ultimo_Login
CLI_10073,Sudeste,Premium,18.6,1,2.4,Churn,2025-08-09
CLI_10074,Nordeste,Padrão,39.3,1,4.1,Retido,N/A
CLI_10075,Norte,Padrão,37.0,1,2.6,Churn,2025-07-06
CLI_10076,Sudeste,Básico,104.2,0,4.1,Retido,N/A
CLI_10077,Centro-Oeste,Premium,31.5,0,4.4,Retido,N/A
CLI_10078,Sul,Padrão,75.7,0,4.8,Retido,N/A
CLI_10079,Sudeste,Padrão,38.3,2,1.9,Churn,2025-04-30
CLI_10080,Centro-Oeste,Básico,58.4,0,4.2,Retido,N/A
CLI_10081,Nordeste,Padrão,68.2,1,3.5,Retido,N/A
CLI_10082,Nordeste,Básico,125.7,1,3.9,Retido,N/A
CLI_10083,Centro-Oeste,Básico,109.2,0,4.2,Retido,N/A
CLI_10084,Sudeste,Padrão,71.9,0,4.9,Retido,N/A
CLI_10085,Centro-Oeste,Premium,31.6,2,3.8,Retido,N/A
CLI_10086,Sul,Premium,57.8,2,4.4,Retido,N/A
CLI_10087,Sudeste,Básico,144.9,2,4.4,Retido,N/A
CLI_10088,Centro-Oeste,Premium,83.2,1,4.4,Retido,N/A
CLI_10089,Centro-Oeste,Premium,57.4,2,4.6,Retido,N/A
CLI_10090,Sul,Padrão,68.3,0,4.9,Retido,N/A
CLI_10091,Nordeste,Básico,56.6,1,4.4,Retido,N/A
CLI_10092,Sudeste,Básico,38.1,1,3.7,Retido,N/A
CLI_10093,Sudeste,Premium,131.9,1,3.8,Retido,N/A
CLI_10094,Sudeste,Padrão,113.4,0,4.6,Retido,N/A
CLI_10095,Sudeste,Básico,22.3,2,2.5,Churn,2025-05-02
CLI_10096,Nordeste,Padrão,21.1,2,3.0,Churn,2025-08-17
CLI_10097,Centro-Oeste,Básico,122.6,0,3.9,Retido,N/A
CLI_10098,Sudeste,Padrão,90.7,0,4.9,Retido,N/A
CLI_10099,Sudeste,Premium,82.5,1,4.4,Retido,N/A
CLI_10100,Sudeste,Premium,50.1,0,4.1,Retido,N/A
CLI_10101,Sudeste,Básico,11.8,2,2.4,Churn,2025-07-02
CLI_10102,Sudeste,Básico,137.4,0,3.6,Retido,N/A
CLI_10103,Centro-Oeste,Padrão,123.8,0,4.3,Retido,N/A
CLI_10104,Nordeste,Básico,130.2,2,4.7,Retido,N/A
CLI_10105,Sudeste,Básico,106.9,0,4.7,Retido,N/A
CLI_10106,Nordeste,Padrão,137.4,2,4.8,Retido,N/A
CLI_10107,Sudeste,Básico,48.5,1,4.7,Retido,N/A
CLI_10108,Sudeste,Padrão,104.5,1,4.2,Retido,N/A
CLI_10109,Sudeste,Básico,140.6,1,4.3,Retido,N/A
CLI_10110,Sudeste,Padrão,39.1,0,4.6,Retido,N/A
CLI_10111,Centro-Oeste,Premium,91.7,0,4.5,Retido,N/A
CLI_10112,Centro-Oeste,Básico,13.8,2,3.6,Churn,2025-05-31
CLI_10113,Sudeste,Básico,62.5,0,3.8,Retido,N/A
CLI_10114,Nordeste,Premium,79.6,2,4.0,Retido,N/A
CLI_10115,Norte,Premium,93.1,0,3.8,Retido,N/A
CLI_10116,Sudeste,Básico,43.0,0,3.8,Retido,N/A
CLI_10117,Sudeste,Premium,131.7,0,4.6,Retido,N/A
CLI_10118,Sudeste,Padrão,93.6,2,4.7,Retido,N/A
CLI_10119,Centro-Oeste,Padrão,49.5,2,3.3,Churn,2025-08-14
CLI_10120,Centro-Oeste,Padrão,32.5,2,3.4,Churn,2025-07-18
CLI_10121,Sudeste,Padrão,65.1,1,4.3,Retido,N/A
CLI_10122,Sudeste,Padrão,144.7,0,4.2,Retido,N/A
CLI_10123,Sul,Padrão,133.4,0,3.8,Retido,N/A
CLI_10124,Sul,Premium,88.5,1,4.8,Retido,N/A
CLI_10125,Sudeste,Básico,46.4,0,4.9,Retido,N/A
CLI_10126,Sul,Premium,47.1,1,3.6,Retido,N/A
CLI_10127,Sudeste,Premium,34.1,1,2.6,Churn,2025-05-10
CLI_10128,Sudeste,Padrão,20.8,2,2.3,Churn,2025-06-14
CLI_10129,Sudeste,Básico,129.3,1,4.3,Retido,N/A
CLI_10130,Centro-Oeste,Premium,58.6,0,4.0,Retido,N/A
CLI_10131,Sul,Premium,50.4,1,4.8,Retido,N/A
CLI_10132,Centro-Oeste,Premium,37.1,0,3.6,Retido,N/A
CLI_10133,Nordeste,Padrão,22.1,1,3.6,Churn,2025-07-01
CLI_10134,Nordeste,Padrão,26.8,2,1.6,Churn,2025-08-06
CLI_10135,Centro-Oeste,Padrão,64.7,1,5.0,Retido,N/A
CLI_10136,Sudeste,Premium,87.8,0,4.3,Retido,N/A
CLI_10137,Norte,Premium,38.0,2,3.2,Churn,2025-05-18
CLI_10138,Nordeste,PADRÃO,115.6,1,4.0,Retido,N/A
CLI_10139,Sudeste,Premium,50.0,1,4.3,Retido,N/A
CLI_10140,Sudeste,Premium,147.8,0,3.7,Retido,N/A
CLI_10141,Sudeste,Premium,129.8,0,4.0,Retido,N/A
CLI_10142,Nordeste,Padrão,11.3,1,2.8,Churn,2025-08-25
CLI_10143,Sudeste,Básico,107.6,0,4.0,Retido,N/A
CLI_10144,Sul,Padrão,6.5,1,3.5,Churn,N/A
CLI_10145,Sudeste,Premium,96.9,0,4.0,Retido,N/A
CLI_10146,Sul,Padrão,157.6,0,4.2,Retido,N/A
CLI_10147,Sul,Premium,104.9,0,4.1,Retido,N/A
CLI_10148,Sudeste,Básico,106.9,1,4.7,Retido,N/A
CLI_10149,Centro-Oeste,Básico,31.8,0,4.7,Retido,N/A
CLI_10150,Sudeste,Básico,34.2,2,4.2,Retido,N/A
CLI_10151,Nordeste,Padrão,133.4,0,4.7,Retido,N/A
CLI_10152,Nordeste,Padrão,27.2,1,3.8,Churn,2025-06-22
CLI_10153,Sudeste,Básico,114.3,1,3.6,Retido,N/A
CLI_10154,Sudeste,Premium,109.9,1,3.5,Retido,N/A
CLI_10155,Sul,Premium,50.9,0,3.7,Retido,N/A
CLI_10156,Sudeste,Premium,57.4,2,4.9,Retido,N/A
CLI_10157,Sul,Padrão,34.9,0,4.0,Retido,N/A
CLI_10158,Sudeste,Premium,85.6,0,4.5,Retido,N/A
CLI_10159,Sudeste,Premium,21.5,1,2.0,Churn,2025-08-16
CLI_10160,Nordeste,Básico,121.8,0,4.3,Retido,N/A
CLI_10161,Sul,Básico,86.7,0,3.7,Retido,N/A
CLI_10162,Sul,Básico,158.4,0,3.7,Retido,N/A
CLI_10163,Nordeste,Padrão,21.3,1,3.9,Churn,2025-07-10
CLI_10164,Sul,Básico,134.5,1,4.6,Retido,N/A
CLI_10165,Sudeste,Básico,73.8,0,3.9,Retido,N/A
CLI_10166,Centro-Oeste,Básico,32.5,0,4.1,Retido,N/A
CLI_10167,Nordeste,Básico,16.4,3,3.9,Churn,2025-08-18
CLI_10168,Sudeste,Padrão,124.0,0,4.3,Retido,N/A
CLI_10169,Sul,Premium,123.4,0,4.7,Retido,N/A
CLI_10170,Sul,Padrão,8.2,2,3.9,Churn,2025-06-14
CLI_10171,Sudeste,Básico,140.7,0,4.6,Retido,N/A
CLI_10172,Sul,Básico,23.7,2,2.0,Churn,2025-09-04
CLI_10173,Sudeste,Básico,,0,4.1,Retido,N/A
CLI_10174,Centro-Oeste,Premium,116.5,0,4.2,Retido,N/A
CLI_10175,Nordeste,Básico,51.0,1,3.8,Retido,N/A
CLI_10176,Nordeste,Premium,71.8,0,3.8,Retido,N/A
CLI_10177,Sudeste,Básico,52.7,0,4.3,Retido,N/A
CLI_10178,Centro-Oeste,Padrão,110.7,0,4.9,Retido,N/A
CLI_10179,Sul,Premium,128.5,1,4.3,Retido,N/A
CLI_10180,Sul,Básico,124.3,0,4.7,Retido,N/A
CLI_10181,Nordeste,Premium,70.8,1,4.8,Retido,N/A
CLI_10182,Sul,PADRÃO,148.2,2,3.9,Retido,N/A
CLI_10183,Sudeste,Padrão,34.6,0,4.2,Retido,N/A
CLI_10184,Sudeste,Padrão,59.4,1,3.8,Retido,N/A
CLI_10185,Sul,Premium,38.8,0,3.7,Retido,N/A
CLI_10186,Sudeste,Premium,46.5,2,3.7,Churn,2025-09-13
CLI_10187,Sul,Básico,137.1,0,3.8,Retido,N/A
CLI_10188,Centro-Oeste,Padrão,104.5,0,4.5,Retido,N/A
CLI_10189,Centro-Oeste,Básico,55.6,0,5.0,Retido,N/A
CLI_10190,Sudeste,Premium,69.7,1,4.8,Retido,N/A
CLI_10191,Sul,Básico,61.9,1,3.6,Retido,N/A
CLI_10192,Sudeste,Padrão,128.8,0,4.2,Retido,N/A
CLI_10193,Centro-Oeste,Premium,82.4,0,4.7,Retido,N/A
CLI_10194,Sudeste,Premium,63.2,0,4.0,Retido,N/A
CLI_10195,Nordeste,Padrão,52.1,1,3.9,Retido,N/A
CLI_10196,Sudeste,Básico,25.1,1,3.1,Churn,2025-05-22
CLI_10197,Sudeste,Premium,121.8,0,3.6,Retido,N/A
CLI_10198,Sudeste,Premium,120.4,0,4.7,Retido,N/A
CLI_10199,Sudeste,Padrão,40.2,2,3.7,Retido,N/A
CLI_10200,Sudeste,Padrão,83.2,0,3.5,Retido,N/A
CLI_10201,Centro-Oeste,Padrão,113.5,0,4.7,Retido,N/A
CLI_10202,Sul,Premium,39.6,1,2.5,Churn,2025-07-15
CLI_10203,Centro-Oeste,Padrão,148.6,0,4.3,Retido,N/A
CLI_10204,Sudeste,Básico,48.2,2,3.9,Retido,N/A
CLI_10205,Nordeste,Padrão,8.7,1,3.3,Churn,2025-07-13
CLI_10206,Sudeste,Premium,71.5,1,4.3,Retido,N/A
CLI_10207,Centro-Oeste,Básico,113.3,0,4.9,Retido,N/A
CLI_10208,Sul,Básico,64.0,0,4.4,Retido,N/A
CLI_10209,Sudeste,Básico,27.2,2,3.9,Churn,2025-09-19
CLI_10210,Sudeste,Premium,47.9,0,4.3,Retido,N/A
CLI_10211,Sudeste,Básico,100.8,1,4.6,Retido,N/A
CLI_10212,Sudeste,Básico,57.5,0,4.2,Retido,N/A
CLI_10213,Sul,Básico,90.7,0,4.1,Retido,N/A
CLI_10214,Sul,Básico,46.7,2,2.0,Churn,2025-07-05
CLI_10215,Sul,Premium,48.7,0,4.2,Retido,N/A
CLI_10216,Sul,Padrão,64.6,1,3.5,Retido,N/A
CLI_10217,Sul,Básico,107.9,1,4.6,Retido,N/A
CLI_10218,Sudeste,Premium,52.4,1,4.1,Retido,N/A
CLI_10219,Centro-Oeste,Padrão,105.5,1,4.6,Retido,N/A
CLI_10220,Sudeste,Básico,76.7,0,3.8,Retido,N/A
CLI_10221,Centro-Oeste,Padrão,51.8,1,4.0,Retido,N/A
CLI_10222,Sul,Premium,37.4,2,4.0,Churn,2025-06-14
CLI_10223,Centro-Oeste,Básico,152.8,2,3.5,Retido,N/A
CLI_10224,Sul,Padrão,78.3,1,3.8,Retido,N/A
CLI_10225,Centro-Oeste,Padrão,102.4,0,3.5,Retido,N/A
CLI_10226,Sul,Premium,18.8,1,3.8,Churn,2025-05-01
CLI_10227,Sul,Básico,87.0,0,4.0,Retido,N/A
CLI_10228,Sudeste,Básico,113.4,1,4.1,Retido,N/A
CLI_10229,Sudeste,Padrão,148.3,1,4.0,Retido,N/A
CLI_10230,Sudeste,Premium,42.1,1,2.8,Churn,2025-08-12
CLI_10231,Nordeste,Básico,36.3,1,3.2,Churn,2025-07-19
CLI_10232,Sudeste,Básico,104.1,0,4.7,Retido,N/A
CLI_10233,Norte,Premium,99.5,0,4.1,Retido,N/A
CLI_10234,Sudeste,Básico,129.0,0,4.8,Retido,N/A
CLI_10235,Norte,Básico,34.3,0,4.3,Retido,N/A
CLI_10236,Nordeste,Padrão,71.0,1,4.7,Retido,N/A
CLI_10237,Nordeste,Básico,8.8,1,2.6,Churn,2025-04-23
CLI_10238,Centro-Oeste,Premium,127.2,1,5.0,Retido,N/A
CLI_10239,Sul,Básico,37.7,0,4.0,Retido,N/A
CLI_10240,Centro-Oeste,Padrão,74.1,0,4.8,Retido,N/A
CLI_10241,Sudeste,Premium,151.2,1,3.8,Retido,N/A
CLI_10242,Sudeste,Padrão,124.4,0,4.2,Retido,N/A
CLI_10243,Sudeste,Padrão,117.5,0,4.0,Retido,N/A
CLI_10244,Sudeste,Premium,135.6,0,3.8,Retido,N/A
CLI_10245,Nordeste,Premium,86.8,1,4.0,Retido,N/A
CLI_10246,Centro-Oeste,Premium,158.5,2,4.6,Retido,N/A
CLI_10247,Nordeste,Básico,13.0,1,3.6,Churn,2025-09-19
CLI_10248,Centro-Oeste,Premium,47.5,2,1.6,Churn,2025-06-28
CLI_10249,Sul,Básico,85.2,0,4.4,Retido,N/A
CLI_10250,Sul,Padrão,101.6,0,3.8,Retido,N/A
CLI_10251,Nordeste,Padrão,119.1,1,3.6,Retido,N/A
CLI_10252,Sudeste,Padrão,96.5,0,4.0,Retido,N/A
CLI_10253,Sudeste,Padrão,47.1,1,3.2,Churn,2025-07-27
CLI_10254,Sudeste,Básico,24.2,2,2.8,Churn,2025-05-10
CLI_10255,Nordeste,Padrão,161.0,1,3.5,Retido,N/A
CLI_10256,Sudeste,Básico,46.0,0,3.6,Retido,N/A
CLI_10257,Nordeste,Básico,87.3,0,4.9,Retido,N/A
CLI_10258,Sul,Premium,52.3,1,4.0,Retido,N/A
CLI_10259,Centro-Oeste,Padrão,28.1,0,4.1,Retido,N/A
CLI_10260,Sudeste,Padrão,93.8,0,3.9,Retido,N/A
CLI_10261,Nordeste,Premium,125.6,1,4.3,Retido,N/A
CLI_10262,Centro-Oeste,Padrão,61.7,0,4.7,Retido,N/A
CLI_10263,Nordeste,Padrão,27.5,3,3.3,Churn,2025-06-17
CLI_10264,Sudeste,PADRÃO,132.2,1,4.1,Retido,N/A
CLI_10265,Sul,Padrão,131.1,1,3.9,Retido,N/A
CLI_10266,Centro-Oeste,Premium,112.3,0,3.6,Retido,N/A
CLI_10267,Sudeste,Premium,,0,4.5,Retido,N/A
CLI_10268,Nordeste,Básico,37.4,0,4.0,Retido,N/A
CLI_10269,Centro-Oeste,Básico,77.6,0,4.7,Retido,N/A
CLI_10270,Sudeste,Básico,154.0,0,4.2,Retido,N/A
CLI_10271,Sudeste,Premium,31.1,1,1.9,Churn,2025-07-31
CLI_10272,Norte,Premium,67.4,0,4.8,Retido,N/A
CLI_10273,Centro-Oeste,Básico,11.8,2,2.5,Churn,2025-05-20
CLI_10274,Sul,Premium,47.7,0,3.6,Retido,N/A
CLI_10275,Sudeste,Premium,84.5,1,4.5,Retido,N/A
CLI_10276,Sudeste,Padrão,22.7,2,3.4,Churn,2025-07-10
CLI_10277,Centro-Oeste,Básico,51.2,0,4.2,Retido,N/A
CLI_10278,Sudeste,Básico,109.1,0,4.6,Retido,N/A
CLI_10279,Centro-Oeste,Padrão,16.4,3,1.8,Churn,2025-09-04
CLI_10280,Sudeste,Premium,95.4,0,4.7,Retido,N/A
CLI_10281,Sudeste,Premium,44.2,0,5.0,Retido,N/A
CLI_10282,Norte,Premium,98.4,2,3.8,Retido,N/A
CLI_10283,Centro-Oeste,Básico,49.2,1,4.2,Retido,N/A
CLI_10284,Sudeste,Premium,79.3,1,4.7,Retido,N/A
CLI_10285,Centro-Oeste,Premium,,0,3.8,Retido,N/A
CLI_10286,Sul,Básico,152.8,1,4.8,Retido,N/A
CLI_10287,Nordeste,Básico,54.7,0,3.9,Retido,N/A
CLI_10288,Nordeste,Premium,124.5,0,4.1,Retido,N/A
CLI_10289,Centro-Oeste,Básico,30.5,3,3.3,Churn,2025-06-06
CLI_10290,Sudeste,Básico,98.2,2,4.8,Retido,N/A
CLI_10291,Sudeste,Padrão,142.9,0,3.6,Retido,N/A
CLI_10292,Nordeste,Padrão,18.1,2,2.0,Churn,2025-05-26
CLI_10293,Sul,Básico,134.1,0,4.0,Retido,N/A
CLI_10294,Sudeste,Premium,46.2,1,4.2,Retido,N/A
CLI_10295,Centro-Oeste,Padrão,90.3,1,3.8,Retido,N/A
CLI_10296,Centro-Oeste,Básico,86.6,0,4.7,Retido,N/A
CLI_10297,Nordeste,Padrão,37.6,1,2.2,Churn,2025-07-09
CLI_10298,Centro-Oeste,Básico,103.5,0,4.4,Retido,N/A
CLI_10299,Nordeste,Básico,105.0,1,4.2,Retido,N/A
CLI_10300,Sudeste,Premium,95.2,0,4.3,Retido,N/A
CLI_10301,Nordeste,Básico,30.7,3,3.1,Churn,2025-08-10
CLI_10302,Sudeste,Básico,13.0,2,3.9,Churn,2025-09-17
CLI_10303,Sudeste,Premium,91.7,1,4.5,Retido,N/A
CLI_10304,Centro-Oeste,Premium,7.9,2,3.4,Churn,2025-04-23
CLI_10305,Sudeste,Premium,111.0,1,3.6,Retido,N/A
CLI_10306,Sul,Básico,17.2,2,3.5,Churn,2025-09-16
CLI_10307,Nordeste,Premium,93.7,0,4.4,Retido,N/A
CLI_10308,Sudeste,Premium,118.7,0,3.6,Retido,N/A
CLI_10309,Sudeste,Padrão,147.1,1,3.7,Retido,N/A
CLI_10310,Sudeste,Padrão,69.6,0,4.0,Retido,N/A
CLI_10311,Centro-Oeste,Padrão,108.4,1,4.8,Retido,N/A
CLI_10312,Sudeste,Padrão,110.5,1,4.8,Retido,N/A
CLI_10313,Sudeste,Premium,7.8,1,1.8,Churn,2025-08-06
CLI_10314,Sul,Padrão,65.3,0,4.9,Retido,N/A
CLI_10315,Sudeste,Premium,9.4,2,4.0,Churn,2025-06-17
CLI_10316,Sudeste,Premium,134.1,0,4.6,Retido,N/A
CLI_10317,Sudeste,Básico,58.6,0,3.8,Retido,N/A
CLI_10318,Centro-Oeste,Padrão,83.7,1,3.6,Retido,N/A
CLI_10319,Nordeste,Padrão,138.6,0,3.7,Retido,N/A
CLI_10320,Sudeste,Padrão,26.5,1,3.2,Churn,2025-07-10
CLI_10321,Sul,Padrão,111.0,0,3.9,Retido,N/A
CLI_10322,Sudeste,Premium,104.0,0,4.0,Retido,N/A
CLI_10323,Sudeste,Premium,134.0,0,4.1,Retido,N/A
CLI_10324,Sul,Padrão,162.7,0,4.6,Retido,N/A
CLI_10325,Sudeste,Padrão,37.3,1,4.4,Retido,N/A
CLI_10326,Centro-Oeste,Padrão,12.0,1,2.5,Churn,2025-06-04
CLI_10327,Sul,Padrão,52.7,0,4.3,Retido,N/A
CLI_10328,Sul,Premium,94.4,0,3.9,Retido,N/A
CLI_10329,Norte,Básico,147.7,1,4.6,Retido,N/A
CLI_10330,Sudeste,Premium,42.2,0,3.5,Retido,N/A
CLI_10331,Sudeste,Básico,10.8,1,3.1,Churn,2025-07-07
CLI_10332,Sudeste,Básico,55.3,0,4.0,Retido,N/A
CLI_10333,Sul,Premium,85.6,1,3.8,Retido,N/A
CLI_10334,Sudeste,Padrão,67.1,0,4.4,Retido,N/A
CLI_10335,Sul,Premium,58.8,2,3.7,Retido,N/A
CLI_10336,Centro-Oeste,Padrão,139.6,1,4.1,Retido,N/A
CLI_10337,Sul,Básico,94.1,0,4.9,Retido,N/A
CLI_10338,Sudeste,Premium,10.5,2,1.6,Churn,N/A
CLI_10339,Centro-Oeste,Padrão,75.9,0,4.2,Retido,N/A
CLI_10340,Sudeste,Premium,144.0,0,4.1,Retido,N/A
CLI_10341,Sul,Premium,34.5,1,3.3,Churn,2025-05-11
CLI_10342,Sudeste,Premium,124.7,0,3.9,Retido,N/A
CLI_10343,Sudeste,Padrão,30.5,1,3.0,Churn,2025-05-09
CLI_10344,Sudeste,Premium,43.2,1,4.3,Retido,N/A
CLI_10345,Sudeste,Premium,93.8,2,4.6,Retido,N/A
CLI_10346,Sudeste,Padrão,19.1,2,1.6,Churn,2025-05-16
CLI_10347,Sul,Padrão,38.2,0,4.7,Retido,N/A
CLI_10348,Sudeste,Padrão,14.5,1,3.6,Churn,N/A
CLI_10349,Sudeste,Premium,125.1,0,3.8,Retido,N/A
CLI_10350,Sudeste,Premium,64.8,1,4.0,Retido,N/A
CLI_10351,Nordeste,Premium,119.1,1,4.1,Retido,N/A
CLI_10352,Nordeste,Básico,130.8,2,3.8,Retido,N/A
CLI_10353,Sudeste,Premium,60.0,0,4.7,Retido,N/A
CLI_10354,Norte,Premium,37.7,1,4.4,Retido,N/A
CLI_10355,Sul,Premium,78.7,0,4.4,Retido,N/A
CLI_10356,Centro-Oeste,Premium,112.0,1,4.8,Retido,N/A
CLI_10357,Sudeste,Premium,46.8,0,4.6,Retido,N/A
CLI_10358,Centro-Oeste,Padrão,106.8,2,3.9,Retido,N/A
CLI_10359,Sul,Premium,123.5,0,4.2,Retido,N/A
CLI_10360,Sudeste,Padrão,37.0,1,3.1,Churn,2025-08-18
CLI_10361,Nordeste,Básico,11.7,3,4.0,Churn,2025-06-21
CLI_10362,Centro-Oeste,Padrão,,0,4.1,Retido,N/A
CLI_10363,Sul,Padrão,83.8,1,3.5,Retido,N/A
CLI_10364,Centro-Oeste,Premium,131.2,0,3.6,Retido,N/A
CLI_10365,Centro-Oeste,Padrão,52.7,0,5.0,Retido,N/A
CLI_10366,Sul,Premium,154.4,0,4.1,Retido,N/A
CLI_10367,Sul,Premium,113.4,1,4.1,Retido,N/A
CLI_10368,Centro-Oeste,Básico,98.6,2,4.6,Retido,N/A
CLI_10369,Centro-Oeste,Premium,22.5,2,2.8,Churn,2025-06-21
CLI_10370,Sudeste,Premium,45.2,1,4.7,Retido,N/A
CLI_10371,Sudeste,Básico,51.9,0,3.9,Retido,N/A
CLI_10372,Centro-Oeste,Padrão,96.0,2,3.9,Retido,N/A
CLI_10373,Nordeste,Premium,102.5,2,4.1,Retido,N/A
CLI_10374,Norte,Básico,29.3,0,3.9,Retido,N/A
CLI_10375,Sul,Premium,33.3,0,5.0,Retido,N/A
CLI_10376,Centro-Oeste,Premium,120.0,99,4.2,Retido,N/A
CLI_10377,Sudeste,Padrão,53.6,0,3.6,Retido,N/A
CLI_10378,Nordeste,Padrão,36.3,1,2.5,Churn,2025-05-09
CLI_10379,Nordeste,Padrão,98.6,0,4.0,Retido,N/A
CLI_10380,Centro-Oeste,Básico,94.8,1,4.2,Retido,N/A
CLI_10381,Sul,Premium,96.2,1,4.9,Retido,N/A
CLI_10382,Sul,Básico,137.5,1,3.8,Retido,N/A
CLI_10383,Centro-Oeste,Básico,98.5,0,4.5,Retido,N/A
